loan_id,loan_type,region,loan_purpose,origination_date,orig_credit_score,current_credit_score,original_balance,current_balance,credit_limit,interest_rate,days_past_due,watchlist_flag,default_flag,months_on_book,utilization,credit_score_change
1,term,East,personal,2024-12-25,633,617,7835.88,7697.92,,16.96,9,0,0,0.2,,-16
2,revolving,East,personal,2024-10-05,727,713,18202.97,17050.19,36929.54,9.82,1,0,0,2.9,0.462,-14
3,term,South,auto,2023-08-02,625,600,19197.03,14505.45,,9.65,5,0,0,17.3,,-25
4,term,South,auto,2022-12-19,613,565,8637.39,4821.45,,7.25,14,0,0,24.8,,-48
5,term,West,personal,2022-08-17,752,732,19720.1,3186.66,,7.02,2,1,0,28.9,,-20
6,term,South,home_improvement,2024-01-19,730,726,21164.26,16072.24,,5.69,3,0,0,11.6,,-4
7,term,South,home_improvement,2022-06-27,659,631,14146.42,1414.64,,5.05,5,0,0,30.6,,-28
8,term,South,home_improvement,2024-05-29,793,775,17378.9,14163.25,,8.27,0,0,0,7.2,,-18
9,term,South,debt_consolidation,2022-08-13,646,612,2254.66,1454.52,,10.56,9,0,0,29.1,,-34
10,revolving,West,auto,2023-12-24,720,709,17404.47,12678.6,20678.55,3.4,5,0,0,12.5,0.613,-11
11,term,South,home_improvement,2021-11-01,585,547,11300.94,6714.28,,8.59,21,0,0,38.6,,-38
12,term,West,auto,2023-06-16,619,588,21429.23,11936.89,,6.62,9,0,1,18.8,,-31
13,revolving,North,personal,2023-07-19,741,698,8277.02,5952.22,14500.7,11.33,1,0,0,17.7,0.41,-43
14,revolving,South,auto,2024-03-29,765,750,10866.59,9579.5,17909.86,7.82,0,0,0,9.3,0.535,-15
15,revolving,East,debt_consolidation,2024-04-29,670,624,15256.81,12180.6,19688.23,11.51,11,0,1,8.2,0.619,-46
16,revolving,West,home_improvement,2023-04-11,816,809,15181.29,8718.44,14072.26,7.23,0,0,0,21.0,0.62,-7
17,term,East,personal,2021-06-29,758,726,2558.62,255.86,,10.42,1,0,0,42.7,,-32
18,term,East,debt_consolidation,2021-06-16,638,597,8693.06,2525.99,,9.0,11,0,0,43.2,,-41
19,term,North,personal,2024-01-05,657,620,11235.22,7460.9,,10.43,15,1,0,12.1,,-37
20,term,West,personal,2023-12-08,596,563,51476.3,32951.13,,12.02,11,0,0,13.0,,-33
21,term,East,debt_consolidation,2021-05-11,653,631,19508.92,6211.1,,14.58,9,0,0,44.4,,-22
22,revolving,West,personal,2024-06-20,694,692,22437.69,19742.91,47843.51,9.36,9,0,0,6.5,0.413,-2
23,revolving,East,debt_consolidation,2022-02-02,682,667,41740.21,10539.07,22784.96,8.91,9,0,0,35.5,0.463,-15
24,term,West,home_improvement,2023-11-16,681,656,3601.92,2329.93,,13.28,8,0,0,13.7,,-25
25,term,North,personal,2024-08-07,739,729,5363.08,4766.39,,6.96,0,0,0,4.9,,-10
26,term,East,debt_consolidation,2024-05-23,689,648,11981.99,9562.53,,10.42,8,0,0,7.4,,-41
27,revolving,North,auto,2022-05-31,721,700,21583.47,5632.35,15789.12,7.23,3,0,0,31.5,0.357,-21
28,term,East,personal,2022-03-05,706,711,18936.81,2236.63,,8.58,6,0,0,34.4,,5
29,term,West,debt_consolidation,2023-03-05,697,653,13942.96,5047.77,,6.83,8,0,0,22.3,,-44
30,term,East,auto,2024-06-06,735,726,13092.5,10730.74,,11.0,3,0,0,7.0,,-9
31,term,West,personal,2023-05-25,728,709,3233.7,2286.63,,8.32,5,0,0,19.6,,-19
32,term,South,debt_consolidation,2022-11-24,612,564,10393.32,3376.18,,5.35,13,0,0,25.6,,-48
33,term,East,debt_consolidation,2023-01-23,789,768,5152.96,1715.68,,5.24,0,1,0,23.6,,-21
34,term,South,home_improvement,2022-03-24,687,677,18920.01,3624.32,,9.39,9,0,0,33.8,,-10
35,revolving,South,personal,2024-10-01,622,618,13990.87,13300.81,33193.34,12.23,14,0,0,3.1,0.401,-4
36,term,East,auto,2024-02-13,676,663,3803.34,2575.04,,3.44,5,0,1,10.8,,-13
37,revolving,East,home_improvement,2024-11-04,695,675,13978.42,13644.42,34460.8,8.18,4,0,0,1.9,0.396,-20
38,revolving,North,home_improvement,2021-04-06,715,683,11211.19,1121.12,2612.84,7.18,3,0,0,45.5,0.429,-32
39,term,South,debt_consolidation,2022-07-27,737,719,24763.4,6644.7,,11.67,4,0,0,29.6,,-18
40,term,West,home_improvement,2021-05-22,726,704,7234.38,3977.87,,6.11,4,0,0,44.0,,-22
41,term,East,debt_consolidation,2023-01-03,790,767,20846.9,6421.24,,8.93,0,0,0,24.3,,-23
42,term,South,home_improvement,2021-06-30,686,628,14913.41,1491.34,,5.19,8,0,0,42.7,,-58
43,term,South,debt_consolidation,2023-08-23,670,630,10647.77,7271.98,,12.59,8,1,0,16.6,,-40
44,term,West,debt_consolidation,2024-03-27,591,546,23182.67,17095.57,,6.21,21,0,0,9.3,,-45
