loan_id,loan_type,current_balance,credit_limit,EAD
1,term,7697.92,,7697.92
2,revolving,17050.19,36929.54,26989.86
3,term,14505.45,,14505.45
4,term,4821.45,,4821.45
5,term,3186.66,,3186.66
6,term,16072.24,,16072.24
7,term,1414.64,,1414.64
8,term,14163.25,,14163.25
9,term,1454.52,,1454.52
10,revolving,12678.6,20678.55,16678.58
11,term,6714.28,,6714.28
12,term,11936.89,,11936.89
13,revolving,5952.22,14500.7,10226.46
14,revolving,9579.5,17909.86,13744.68
15,revolving,12180.6,19688.23,15934.42
16,revolving,8718.44,14072.26,11395.35
17,term,255.86,,255.86
18,term,2525.99,,2525.99
19,term,7460.9,,7460.9
20,term,32951.13,,32951.13
21,term,6211.1,,6211.1
22,revolving,19742.91,47843.51,33793.21
23,revolving,10539.07,22784.96,16662.02
24,term,2329.93,,2329.93
25,term,4766.39,,4766.39
26,term,9562.53,,9562.53
27,revolving,5632.35,15789.12,10710.74
28,term,2236.63,,2236.63
29,term,5047.77,,5047.77
30,term,10730.74,,10730.74
31,term,2286.63,,2286.63
32,term,3376.18,,3376.18
33,term,1715.68,,1715.68
34,term,3624.32,,3624.32
35,revolving,13300.81,33193.34,23247.07
36,term,2575.04,,2575.04
37,revolving,13644.42,34460.8,24052.61
38,revolving,1121.12,2612.84,1866.98
39,term,6644.7,,6644.7
40,term,3977.87,,3977.87
41,term,6421.24,,6421.24
42,term,1491.34,,1491.34
43,term,7271.98,,7271.98
44,term,17095.57,,17095.57
45,term,13816.14,,13816.14
46,term,3620.11,,3620.11
47,term,2274.78,,2274.78
48,term,12834.8,,12834.8
49,revolving,14368.29,40607.46,27487.88
50,term,10583.84,,10583.84
51,term,23596.4,,23596.4
52,term,5225.13,,5225.13
53,term,33989.99,,33989.99
54,term,11735.67,,11735.67
55,term,511.41,,511.41
56,term,10622.05,,10622.05
57,term,3554.71,,3554.71
58,revolving,9458.28,17850.64,13654.46
59,term,1489.73,,1489.73
60,term,5531.31,,5531.31
61,term,4981.08,,4981.08
62,revolving,1943.98,4856.83,3400.4
63,term,10138.46,,10138.46
64,term,739.01,,739.01
65,term,19591.06,,19591.06
66,term,15169.76,,15169.76
67,term,7703.92,,7703.92
68,revolving,23554.38,38172.33,30863.36
69,term,6172.85,,6172.85
70,term,12552.86,,12552.86
71,revolving,1855.77,5458.07,3656.92
72,revolving,4169.01,10443.4,7306.2
73,revolving,8954.12,25551.43,17252.78
74,term,5118.41,,5118.41
75,term,4985.84,,4985.84
76,term,3917.93,,3917.93
77,revolving,7159.86,18204.21,12682.04
78,term,1086.22,,1086.22
79,term,21915.59,,21915.59
80,revolving,7589.11,12510.47,10049.79
81,term,2168.44,,2168.44
82,term,27546.47,,27546.47
