loan_id,origination_date,orig_credit_score,current_credit_score,original_balance,current_balance,credit_limit,interest_rate,days_past_due,watchlist_flag,default_flag,months_on_book,utilization,credit_score_change,stage,LGD,EAD,balance_to_original_ratio,high_utilization_flag,score_deteriorated_flag,loan_type_term,region_North,region_South,region_West,loan_purpose_debt_consolidation,loan_purpose_home_improvement,loan_purpose_personal,PD_12month,years_remaining,PD_lifetime,PD_used,ECL
1,2023-05-04,588,579,3591.94,1410.48,,8.13,42,0,1,20.3,,-9,Stage 2,0.887,1410.48,0.393,0,0,True,False,False,False,True,False,False,0.7803635528329999,3.3083333333333336,0.9933604483103902,0.9933604483103902,1242.79
2,2021-09-15,615,595,12584.49,7287.52,13478.76,7.84,21,0,0,40.1,0.541,-20,Stage 1,0.892,10383.14,0.579,0,0,False,False,False,True,False,False,True,0.6684964766415398,1.6583333333333332,0.8397457658097959,0.6684964766415398,6191.45
3,2024-11-12,746,735,20895.64,20183.16,33870.13,11.22,1,0,0,1.7,0.596,-11,Stage 1,0.409,27026.64,0.966,0,0,False,False,False,True,False,False,False,0.17424050866119817,4.858333333333333,0.6055000540819793,0.17424050866119817,1926.04
4,2021-02-14,676,649,15981.4,1598.14,,9.36,8,0,0,47.2,,-27,Stage 1,0.885,1598.14,0.1,0,0,True,False,True,False,True,False,False,0.34989162355397535,1.0666666666666664,0.3682894267607214,0.34989162355397535,494.87
5,2021-09-26,654,640,18555.3,3752.12,,8.33,18,0,0,39.8,,-14,Stage 1,0.465,3752.12,0.202,0,0,True,True,False,False,False,False,False,0.5606949357535604,1.6833333333333336,0.74958724105331,0.5606949357535604,978.26
6,2024-08-27,664,636,12238.65,11193.45,,15.5,14,0,0,4.2,,-28,Stage 1,0.826,11193.45,0.915,0,0,True,False,False,True,True,False,False,0.4123331922110219,4.65,0.9155771707129171,0.4123331922110219,3812.35
7,2022-11-03,664,654,9323.79,4537.56,,13.61,8,0,0,26.3,,-10,Stage 1,0.859,4537.56,0.487,0,0,True,False,True,False,True,False,False,0.4258243565194192,2.808333333333333,0.7894683549694094,0.4258243565194192,1659.76
8,2023-10-16,713,698,18801.91,12763.92,26947.14,4.77,5,0,0,14.8,0.474,-15,Stage 1,0.871,19855.53,0.679,0,0,False,False,False,False,False,False,True,0.20695242403229197,3.7666666666666666,0.5824641104003871,0.20695242403229197,3579.07
9,2024-07-25,613,569,17877.54,16035.77,,14.62,29,0,0,5.3,,-44,Stage 2,0.614,16035.77,0.897,0,1,True,False,False,False,False,True,False,0.6406244805467916,4.558333333333334,0.9905801960112715,0.9905801960112715,9753.22
10,2023-05-07,681,676,5255.94,2991.09,4965.63,8.46,9,0,0,20.2,0.602,-5,Stage 1,0.671,3978.36,0.569,0,0,False,False,False,False,False,True,False,0.3263156632534561,3.3166666666666664,0.7301967194061109,0.3263156632534561,871.09
