loan_id,LGD,adjusted_recovery_rate
1,0.687,0.31317999999999996
2,0.692,0.30779999999999996
3,0.259,0.7413099999999999
4,0.685,0.31515
5,0.315,0.6849799999999999
6,0.626,0.37395
7,0.659,0.34056
8,0.671,0.32859
9,0.414,0.5858300000000001
10,0.471,0.52863
11,0.693,0.30744
12,0.667,0.33275
13,0.453,0.5468900000000001
14,0.437,0.5627800000000001
15,0.407,0.5928500000000001
16,0.683,0.316895
17,0.254,0.7463299999999999
18,0.261,0.73905
19,0.324,0.67565
20,0.282,0.71834
21,0.261,0.73854
22,0.425,0.5750700000000001
23,0.469,0.53139
24,0.635,0.36471
25,0.429,0.57052
26,0.66,0.34009
27,0.671,0.32902
28,0.455,0.54522
29,0.679,0.32093
30,0.659,0.34110999999999997
31,0.295,0.70466
32,0.613,0.38709
33,0.439,0.5606
34,0.311,0.68897
35,0.42,0.57987
36,0.302,0.6983499999999999
37,0.484,0.51559
38,0.317,0.6826399999999999
39,0.324,0.67624
40,0.68,0.32047
41,0.473,0.5265700000000001
42,0.609,0.39072999999999997
43,0.268,0.7317499999999999
44,0.441,0.5592900000000001
45,0.344,0.6558499999999999
46,0.72,0.27962
47,0.682,0.31790999999999997
48,0.683,0.31681
49,0.693,0.307
50,0.635,0.36513999999999996
51,0.607,0.39296
52,0.289,0.71097
53,0.466,0.5341100000000001
54,0.744,0.2561
55,0.694,0.30635
56,0.606,0.39391
57,0.661,0.33936999999999995
58,0.734,0.26561
59,0.457,0.5434800000000001
60,0.299,0.7013499999999999
61,0.316,0.68429
62,0.333,0.6669799999999999
63,0.292,0.70785
64,0.477,0.5228
65,0.459,0.54057
66,0.412,0.58789
67,0.615,0.38542
68,0.699,0.30089
69,0.492,0.50817
70,0.275,0.72492
71,0.444,0.5564
72,0.652,0.34765
73,0.631,0.36867
74,0.329,0.67147
75,0.634,0.36630999999999997
76,0.435,0.56545
77,0.269,0.7308
78,0.279,0.7206199999999999
79,0.425,0.57452
80,0.438,0.56179
81,0.709,0.29102
82,0.42,0.57998
83,0.474,0.5257700000000001
84,0.496,0.50414
85,0.341,0.65882
86,0.675,0.32472999999999996
87,0.26,0.7399399999999999
88,0.447,0.55293
89,0.713,0.28662
90,0.434,0.5655800000000001
91,0.315,0.68504
92,0.28,0.7204299999999999
93,0.43,0.5698700000000001
94,0.653,0.34669
95,0.299,0.7012499999999999
96,0.461,0.5394800000000001
97,0.656,0.34447
98,0.463,0.5372100000000001
99,0.454,0.54639
100,0.706,0.29442999999999997
101,0.406,0.5937
102,0.611,0.38892
103,0.481,0.51888
104,0.624,0.37606999999999996
105,0.328,0.6715099999999999
106,0.405,0.59547
107,0.671,0.32857
108,0.488,0.5122300000000001
109,0.665,0.3354
110,0.615,0.38462999999999997
111,0.685,0.31528
112,0.603,0.39732999999999996
113,0.409,0.5908300000000001
114,0.693,0.30701
115,0.431,0.56881
116,0.491,0.50924
117,0.695,0.30526
118,0.721,0.27864
119,0.259,0.74144
120,0.676,0.32439
121,0.309,0.69067
122,0.728,0.27201
123,0.497,0.50285
124,0.428,0.57237
125,0.621,0.37851999999999997
126,0.345,0.6553899999999999
127,0.311,0.6894199999999999
128,0.649,0.35113999999999995
129,0.666,0.33431
130,0.62,0.37984999999999997
131,0.701,0.29922
132,0.69,0.31038999999999994
133,0.314,0.68612
134,0.333,0.6671999999999999
135,0.745,0.25537
136,0.254,0.74617
137,0.336,0.6639299999999999
138,0.268,0.73215
139,0.296,0.7035899999999999
140,0.475,0.5245700000000001
141,0.626,0.37428
142,0.634,0.36638
143,0.467,0.53325
144,0.293,0.70655
145,0.666,0.33392
146,0.626,0.37361999999999995
147,0.625,0.37504
148,0.717,0.28271
149,0.497,0.50282
150,0.709,0.29070999999999997
151,0.689,0.31135
152,0.465,0.5354300000000001
153,0.699,0.30074
154,0.688,0.31153
155,0.607,0.39303
156,0.728,0.27235
157,0.662,0.33781999999999995
158,0.307,0.693345
159,0.317,0.68253
160,0.321,0.6790299999999999
161,0.465,0.5349900000000001
162,0.257,0.74327
163,0.677,0.32323999999999997
164,0.691,0.30905
165,0.606,0.39354
166,0.696,0.30384
167,0.698,0.3016
168,0.738,0.2621
169,0.635,0.36476
170,0.673,0.32665
171,0.73,0.27029
172,0.683,0.31655999999999995
173,0.618,0.38238999999999995
174,0.604,0.39620999999999995
175,0.746,0.25389
176,0.494,0.506275
