loan_id,default_flag,orig_credit_score,current_credit_score,credit_score_change,original_balance,current_balance,balance_to_original_ratio,interest_rate,months_on_book,days_past_due,watchlist_flag,high_utilization_flag,score_deteriorated_flag,loan_type_term,region_North,region_South,region_West,loan_purpose_debt_consolidation,loan_purpose_home_improvement,loan_purpose_personal,credit_score_band_Fair,credit_score_band_Good,credit_score_band_Very Good,credit_score_band_Excellent,dpd_bucket_1-30,dpd_bucket_31-60,dpd_bucket_61-90,dpd_bucket_90+
1,0,633,617,-16,7835.88,7697.92,0.982,16.96,0.2,9,0,0,0,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False
2,0,727,713,-14,18202.97,17050.19,0.937,9.82,2.9,1,0,0,0,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False
3,0,625,600,-25,19197.03,14505.45,0.756,9.65,17.3,5,0,0,0,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
4,0,613,565,-48,8637.39,4821.45,0.558,7.25,24.8,14,0,0,1,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
5,0,752,732,-20,19720.1,3186.66,0.162,7.02,28.9,2,1,0,0,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False
6,0,730,726,-4,21164.26,16072.24,0.759,5.69,11.6,3,0,0,0,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False
7,0,659,631,-28,14146.42,1414.64,0.1,5.05,30.6,5,0,0,0,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False
8,0,793,775,-18,17378.9,14163.25,0.815,8.27,7.2,0,0,0,0,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False
9,0,646,612,-34,2254.66,1454.52,0.645,10.56,29.1,9,0,0,1,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False
10,0,720,709,-11,17404.47,12678.6,0.728,3.4,12.5,5,0,0,0,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
11,0,585,547,-38,11300.94,6714.28,0.594,8.59,38.6,21,0,0,1,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False
12,1,619,588,-31,21429.23,11936.89,0.557,6.62,18.8,9,0,0,1,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False
13,0,741,698,-43,8277.02,5952.22,0.719,11.33,17.7,1,0,0,1,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False
14,0,765,750,-15,10866.59,9579.5,0.882,7.82,9.3,0,0,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
15,1,670,624,-46,15256.81,12180.6,0.798,11.51,8.2,11,0,0,1,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
16,0,816,809,-7,15181.29,8718.44,0.574,7.23,21.0,0,0,0,0,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
17,0,758,726,-32,2558.62,255.86,0.1,10.42,42.7,1,0,0,1,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False
18,0,638,597,-41,8693.06,2525.99,0.291,9.0,43.2,11,0,0,1,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False
19,0,657,620,-37,11235.22,7460.9,0.664,10.43,12.1,15,1,0,1,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False
20,0,596,563,-33,51476.3,32951.13,0.64,12.02,13.0,11,0,0,1,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False
21,0,653,631,-22,19508.92,6211.1,0.318,14.58,44.4,9,0,0,0,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
22,0,694,692,-2,22437.69,19742.91,0.88,9.36,6.5,9,0,0,0,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False
23,0,682,667,-15,41740.21,10539.07,0.252,8.91,35.5,9,0,0,0,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
24,0,681,656,-25,3601.92,2329.93,0.647,13.28,13.7,8,0,0,0,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False
25,0,739,729,-10,5363.08,4766.39,0.889,6.96,4.9,0,0,0,0,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False
26,0,689,648,-41,11981.99,9562.53,0.798,10.42,7.4,8,0,0,1,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
27,0,721,700,-21,21583.47,5632.35,0.261,7.23,31.5,3,0,0,0,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False
28,0,706,711,5,18936.81,2236.63,0.118,8.58,34.4,6,0,0,0,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False
29,0,697,653,-44,13942.96,5047.77,0.362,6.83,22.3,8,0,0,1,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False
30,0,735,726,-9,13092.5,10730.74,0.82,11.0,7.0,3,0,0,0,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
31,0,728,709,-19,3233.7,2286.63,0.707,8.32,19.6,5,0,0,0,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False
32,0,612,564,-48,10393.32,3376.18,0.325,5.35,25.6,13,0,0,1,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False
33,0,789,768,-21,5152.96,1715.68,0.333,5.24,23.6,0,1,0,0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
34,0,687,677,-10,18920.01,3624.32,0.192,9.39,33.8,9,0,0,0,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False
35,0,622,618,-4,13990.87,13300.81,0.951,12.23,3.1,14,0,0,0,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False
36,1,676,663,-13,3803.34,2575.04,0.677,3.44,10.8,5,0,0,0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
37,0,695,675,-20,13978.42,13644.42,0.976,8.18,1.9,4,0,0,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
38,0,715,683,-32,11211.19,1121.12,0.1,7.18,45.5,3,0,0,1,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False
39,0,737,719,-18,24763.4,6644.7,0.268,11.67,29.6,4,0,0,0,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False
40,0,726,704,-22,7234.38,3977.87,0.55,6.11,44.0,4,0,0,0,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False
41,0,790,767,-23,20846.9,6421.24,0.308,8.93,24.3,0,0,0,0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
42,0,686,628,-58,14913.41,1491.34,0.1,5.19,42.7,8,0,0,1,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False
43,0,670,630,-40,10647.77,7271.98,0.683,12.59,16.6,8,1,0,1,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False
44,0,591,546,-45,23182.67,17095.57,0.737,6.21,9.3,21,0,0,1,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False
45,0,738,717,-21,22958.3,13816.14,0.602,12.49,13.9,4,0,0,0,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False
46,0,716,683,-33,32515.56,3620.11,0.111,9.16,45.6,4,0,0,1,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False
47,0,646,635,-11,4231.38,2274.78,0.538,6.31,27.2,7,0,0,0,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False
48,0,694,682,-12,19987.5,12834.8,0.642,10.83,30.3,7,1,0,0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
49,0,679,637,-42,17079.91,14368.29,0.841,11.26,6.2,8,0,0,1,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
50,0,690,659,-31,15801.67,10583.84,0.67,14.12,11.3,8,0,0,1,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False
51,0,663,629,-34,30785.28,23596.4,0.766,10.68,11.7,9,0,0,1,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False
52,0,686,660,-26,11109.21,5225.13,0.47,10.98,38.6,8,0,0,0,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False
53,0,588,563,-25,40309.11,33989.99,0.843,11.53,5.3,12,0,0,0,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False
54,1,655,622,-33,12347.07,11735.67,0.95,3.0,3.5,7,0,0,1,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False
55,0,698,666,-32,1000.0,511.41,0.511,10.15,32.1,1,1,0,1,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False
56,0,637,625,-12,12506.04,10622.05,0.849,12.02,6.9,16,0,0,0,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False
57,0,703,660,-43,10627.67,3554.71,0.334,9.69,42.7,9,0,0,1,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False
58,0,803,810,7,14962.34,9458.28,0.632,7.48,26.1,0,0,0,0,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
59,0,610,588,-22,11045.64,1489.73,0.135,6.89,36.6,14,0,0,0,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False
60,0,570,538,-32,11891.16,5531.31,0.465,8.87,18.9,21,0,0,1,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False
61,0,752,715,-37,29050.6,4981.08,0.171,8.6,33.9,1,0,0,1,True,False,False,True,False,True,False,False,False,False,True,True,False,False,False
62,0,805,815,10,3449.53,1943.98,0.564,9.62,20.5,0,0,0,0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
63,0,702,698,-4,47662.5,10138.46,0.213,9.01,48.3,7,0,0,0,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False
64,0,680,638,-42,4882.8,739.01,0.151,10.9,39.5,7,1,0,1,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False
65,0,641,622,-19,20446.58,19591.06,0.958,5.07,3.8,14,0,0,0,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False
66,0,712,681,-31,20592.97,15169.76,0.737,11.4,23.7,8,0,0,1,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False
67,0,679,654,-25,9325.62,7703.92,0.826,12.8,11.9,9,0,0,0,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False
68,0,730,724,-6,24205.84,23554.38,0.973,3.97,1.7,6,0,0,0,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False
69,0,577,548,-29,9490.8,6172.85,0.65,7.69,25.2,17,0,0,0,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False
70,0,699,695,-4,12715.69,12552.86,0.987,11.53,0.5,9,0,0,0,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
71,0,629,619,-10,18557.66,1855.77,0.1,10.26,35.5,13,0,0,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
72,0,736,744,8,23692.38,4169.01,0.176,5.55,37.0,4,0,0,0,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False
73,0,611,562,-49,14360.81,8954.12,0.624,10.78,23.6,13,0,0,1,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False
74,0,717,723,6,18726.0,5118.41,0.273,3.38,28.1,3,0,0,0,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False
75,1,645,592,-53,5164.93,4985.84,0.965,10.51,2.4,12,0,0,1,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False
76,0,653,638,-15,39179.32,3917.93,0.1,13.04,40.9,13,0,0,0,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False
77,0,730,700,-30,10924.61,7159.86,0.655,8.92,24.8,3,1,0,0,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False
78,0,632,626,-6,6574.71,1086.22,0.165,11.42,37.1,5,0,0,0,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False
79,0,589,570,-19,40513.45,21915.59,0.541,10.0,24.8,12,0,0,0,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False
80,0,684,661,-23,10462.05,7589.11,0.725,6.75,17.2,9,0,0,0,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False
81,0,640,610,-30,21684.4,2168.44,0.1,7.3,43.8,11,0,0,0,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False
82,1,597,577,-20,46093.99,27546.47,0.598,8.07,21.5,20,0,0,0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
83,0,701,676,-25,8312.87,5114.48,0.615,8.26,18.5,6,0,0,0,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
84,0,697,702,5,10451.92,1045.19,0.1,12.5,38.5,6,0,0,0,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False
85,0,687,654,-33,6782.0,4547.75,0.671,13.47,30.3,5,0,0,1,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
86,0,710,692,-18,33068.19,13833.84,0.418,11.6,44.8,7,0,0,0,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False
87,0,560,540,-20,18180.39,9444.26,0.519,13.43,29.2,23,0,0,0,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
88,0,634,587,-47,6246.6,5035.0,0.806,9.83,14.5,15,0,0,1,True,True,False,False,False,False,True,True,False,False,False,True,False,False,False
89,0,696,681,-15,27974.44,12766.74,0.456,3.0,30.2,7,0,0,0,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False
90,0,742,729,-13,1588.05,616.89,0.388,9.01,24.1,2,0,0,0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
91,0,694,672,-22,4084.41,408.44,0.1,6.68,47.7,2,0,0,0,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
92,1,750,699,-51,13442.96,4214.12,0.313,11.01,31.3,1,0,0,1,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False
93,0,639,616,-23,12141.58,11505.12,0.948,8.57,2.3,13,1,0,0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
94,1,643,591,-52,24001.05,13824.74,0.576,9.94,34.9,14,0,0,1,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
95,0,657,650,-7,6406.23,2198.54,0.343,9.15,25.9,7,0,0,0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
96,0,675,617,-58,5464.98,3269.11,0.598,7.35,16.0,4,0,0,1,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False
97,0,573,561,-12,10895.38,5128.84,0.471,6.48,20.6,22,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
98,0,678,638,-40,8164.68,5229.84,0.641,7.54,13.4,12,1,0,1,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False
99,0,677,635,-42,23107.48,8972.5,0.388,10.32,30.8,10,0,0,1,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
100,0,643,604,-39,31160.68,13135.77,0.422,13.13,20.8,11,0,0,1,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False
101,0,633,591,-42,20108.81,8325.41,0.414,10.31,20.7,6,0,0,1,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False
102,0,696,683,-13,28350.94,9797.72,0.346,16.65,36.2,7,0,0,0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False
103,0,715,683,-32,2303.4,614.73,0.267,10.91,35.2,6,0,0,1,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False
104,0,688,665,-23,9170.68,2518.92,0.275,9.66,30.5,8,0,0,0,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
105,0,688,652,-36,18061.58,13535.62,0.749,12.42,10.2,6,0,0,1,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False
106,0,677,661,-16,24942.63,6308.21,0.253,4.72,46.1,9,0,0,0,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False
107,0,680,678,-2,9537.72,5164.65,0.541,7.07,32.6,12,0,0,0,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False
108,0,720,682,-38,3130.89,1624.6,0.519,10.84,20.1,5,0,0,1,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False
109,0,777,756,-21,40564.29,10516.16,0.259,6.83,31.4,0,0,0,0,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
110,0,769,746,-23,4261.44,2630.37,0.617,13.3,34.7,1,0,0,0,True,True,False,False,False,True,False,False,False,False,True,True,False,False,False
111,0,614,558,-56,12044.59,7872.11,0.654,7.53,13.1,12,0,0,1,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False
112,0,553,502,-51,9148.98,6326.92,0.692,11.46,12.2,13,0,0,1,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False
113,0,711,667,-44,28332.84,21600.61,0.762,9.32,16.9,5,0,0,1,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False
114,0,681,657,-24,6545.22,6033.59,0.922,14.84,4.1,7,1,0,0,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False
115,0,676,660,-16,17149.84,9073.68,0.529,11.22,25.7,9,0,0,0,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
116,0,702,652,-50,17851.86,1785.19,0.1,10.77,44.3,3,0,0,1,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False
117,0,665,634,-31,30811.85,15302.1,0.497,7.93,32.4,10,0,0,1,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False
118,0,582,547,-35,13748.67,11152.2,0.811,7.29,10.3,22,0,0,1,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False
119,0,611,586,-25,13910.8,8938.63,0.643,9.21,23.5,13,0,0,0,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False
120,1,615,588,-27,27649.74,25128.78,0.909,10.68,6.4,20,0,0,0,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
121,0,720,711,-9,12383.56,6192.42,0.5,10.02,41.1,2,0,0,0,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False
122,0,793,781,-12,10813.07,6290.61,0.582,4.65,41.7,0,0,0,0,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False
123,0,651,607,-44,12432.93,6183.91,0.497,7.99,26.4,11,0,0,1,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False
124,0,836,822,-14,55052.36,36958.41,0.671,9.97,17.3,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
