loan_id,loan_type,region,loan_purpose,origination_date,orig_credit_score,current_credit_score,original_balance,current_balance,credit_limit,interest_rate,days_past_due,watchlist_flag,default_flag,months_on_book,utilization,credit_score_change,stage
1,term,East,debt_consolidation,2023-05-04,588,579,3591.94,1410.48,,8.13,42,0,1,20.3,,-9,Stage 2
2,revolving,West,personal,2021-09-15,615,595,12584.49,7287.52,13478.76,7.84,21,0,0,40.1,0.541,-20,Stage 1
3,revolving,West,auto,2024-11-12,746,735,20895.64,20183.16,33870.13,11.22,1,0,0,1.7,0.596,-11,Stage 1
4,term,South,debt_consolidation,2021-02-14,676,649,15981.4,1598.14,,9.36,8,0,0,47.2,,-27,Stage 1
5,term,North,auto,2021-09-26,654,640,18555.3,3752.12,,8.33,18,0,0,39.8,,-14,Stage 1
6,term,West,debt_consolidation,2024-08-27,664,636,12238.65,11193.45,,15.5,14,0,0,4.2,,-28,Stage 1
7,term,South,debt_consolidation,2022-11-03,664,654,9323.79,4537.56,,13.61,8,0,0,26.3,,-10,Stage 1
8,revolving,East,personal,2023-10-16,713,698,18801.91,12763.92,26947.14,4.77,5,0,0,14.8,0.474,-15,Stage 1
9,term,East,home_improvement,2024-07-25,613,569,17877.54,16035.77,,14.62,29,0,0,5.3,,-44,Stage 2
10,revolving,East,home_improvement,2023-05-07,681,676,5255.94,2991.09,4965.63,8.46,9,0,0,20.2,0.602,-5,Stage 1
11,term,East,personal,2021-05-25,694,687,14657.44,7221.1,,12.4,4,0,0,43.9,,-7,Stage 1
12,revolving,South,debt_consolidation,2021-08-23,703,699,12878.8,3469.61,9024.78,14.95,2,0,0,40.9,0.384,-4,Stage 1
13,revolving,North,home_improvement,2022-11-22,693,664,21274.86,5394.18,8970.01,11.43,3,0,0,25.7,0.601,-29,Stage 1
14,term,South,home_improvement,2022-12-21,710,712,17152.13,8311.3,,15.84,2,0,0,24.7,,2,Stage 1
15,term,North,home_improvement,2024-03-05,645,644,30726.02,21661.18,,11.56,11,0,0,10.1,,-1,Stage 1
16,term,East,personal,2021-12-19,623,591,25417.96,9360.91,,10.89,28,0,0,37.0,,-32,Stage 2
17,term,West,auto,2024-11-18,827,836,27524.91,27066.73,,12.03,10,0,0,1.5,,9,Stage 1
18,term,West,auto,2023-09-21,661,640,21699.46,18184.17,,5.29,16,0,0,15.6,,-21,Stage 1
19,term,West,auto,2021-10-02,668,647,26675.31,2667.53,,8.39,7,0,0,39.6,,-21,Stage 1
20,term,North,auto,2024-11-08,720,713,10007.99,9722.46,,5.79,1,0,0,1.8,,-7,Stage 1
21,term,East,auto,2023-06-29,775,767,24727.14,17794.82,,8.47,1,0,0,18.4,,-8,Stage 1
22,term,South,home_improvement,2024-09-08,647,626,12931.58,11544.3,,10.35,13,0,0,3.8,,-21,Stage 1
23,term,West,home_improvement,2024-04-21,620,617,3722.62,3301.29,,8.56,46,0,0,8.5,,-3,Stage 2
24,term,North,debt_consolidation,2022-03-16,605,567,24487.56,8842.31,,8.57,25,0,1,34.1,,-38,Stage 2
25,term,West,home_improvement,2023-12-23,775,776,16073.37,10249.29,,4.93,2,0,0,12.5,,1,Stage 1
26,revolving,South,personal,2023-05-22,617,617,34345.89,19002.31,45907.91,7.43,31,0,0,19.7,0.414,0,Stage 2
27,term,East,debt_consolidation,2022-10-13,678,663,14530.04,3034.25,,14.0,7,0,0,27.0,,-15,Stage 1
28,term,South,home_improvement,2023-08-01,621,605,6977.51,5187.28,,7.33,26,0,0,17.3,,-16,Stage 1
29,term,East,debt_consolidation,2021-02-03,593,559,8561.97,2162.85,,7.97,31,1,0,47.6,,-34,Stage 2
30,term,East,debt_consolidation,2022-12-06,662,636,11339.89,4608.69,,9.7,12,0,0,25.2,,-26,Stage 1
31,term,East,auto,2023-05-17,623,587,16423.46,6695.92,,10.11,26,1,0,19.8,,-36,Stage 2
32,term,West,debt_consolidation,2023-09-12,638,618,26935.45,16842.01,,8.59,27,0,0,15.9,,-20,Stage 1
33,term,South,home_improvement,2023-04-12,800,819,16171.0,7860.7,,4.81,2,0,0,21.0,,19,Stage 1
34,revolving,West,auto,2024-01-16,705,700,5150.29,4328.43,11613.43,10.62,7,0,0,11.7,0.373,-5,Stage 1
35,revolving,South,home_improvement,2024-05-18,735,729,16573.95,13255.19,25090.57,14.76,0,0,0,7.6,0.528,-6,Stage 1
36,revolving,North,auto,2022-04-07,729,717,29875.84,5624.17,14820.17,14.51,1,0,0,33.3,0.379,-12,Stage 1
37,term,North,home_improvement,2021-03-22,673,652,14775.55,1629.33,,6.85,11,0,0,46.0,,-21,Stage 1
38,term,South,auto,2021-11-18,653,626,18463.66,3456.29,,10.21,11,1,0,38.0,,-27,Stage 2
39,term,South,auto,2022-02-19,694,674,12601.63,2718.36,,16.59,3,0,0,34.9,,-20,Stage 1
40,term,South,personal,2023-09-19,690,682,12518.66,10239.93,,8.99,8,0,0,15.7,,-8,Stage 1
41,term,South,home_improvement,2021-07-09,645,650,27650.65,2765.06,,9.76,20,0,0,42.4,,5,Stage 1
42,term,East,debt_consolidation,2024-06-10,687,682,23075.22,19572.63,,4.52,4,0,0,6.8,,-5,Stage 1
43,term,West,auto,2022-01-27,637,611,57083.69,14031.57,,12.13,20,0,0,35.7,,-26,Stage 1
44,revolving,East,home_improvement,2024-04-07,669,645,9331.5,7589.51,19879.05,9.83,12,0,0,9.0,0.382,-24,Stage 1
45,term,West,auto,2021-06-17,659,633,7776.57,777.66,,6.32,15,1,0,43.1,,-26,Stage 2
46,term,West,personal,2024-06-08,603,601,3857.01,3106.95,,11.08,29,0,0,6.9,,-2,Stage 1
